questions,types
"How much Total has Semidoubles smaller than 78, and Doubles, II Class smaller than 17?",4
"Which Greater Doubles have Doubles, II Class smaller than 17?",0
"How much Total has Doubles of 45, and Doubles, II Class larger than 18?",4
Which Rank has a 2nd run of 1:17.170 (8)?,0
"Which Rank has a Total smaller than 10, and a 3rd run of 36.457 (2)?",0
What is the value of the size (steps) that has just ratio 10:9 and a size (cents) more than 160,0
What is the average size (cents) with an interval of major third and size (steps) more than 5,5
What is the average number of points for places over 7 and having a draw order of 4?,5
"What is the sum of placings for the song ""Tavo Spalvos""?",4
How many league goals did the player with 10 league apps and 0 FA cup goals have?,3
What was the sum of league goals where the toal was 8 and league cup goals were larger than 0?,4
"When the average ratings is 10.3%, what is the average episodes?",5
What is the fewest episodes with the Romaji title Regatta~Kimi to Ita Eien~?,2
what is the most episodes when the average ratings is 18.8%?,1
"Of all the schools that left before 2003, what is the average year joined?",5
"What year did the Ingots, who left after 2007, join?",0
What is the total enrollment of the aa IHSAA class?,3
What is the lowest enrollment at the pioneer school?,2
What is the average enrollment of the IHSAA A class in wolcott?,5
What is the Shirt No for Henry Bell Cisnero whose height is less than 190?,0
What is the Shirt No for the person whose height is 188?,0
What is the height of the person whose position is Libero?,0
"What is the total for the person with free of 47.667, and technical less than 47.417?",3
"What is the technical number for Jiang Tingting & Jiang Wenwen, and the total was more than 96.334?",0
"What is the free of Apolline Dreyfuss & Lila Meesseman-Bakir, when the total was larger than 90.333?",0
What is the average number of games drawn among teams that played over 14 games?,5
What is the total number of points combined from the teams that played over 14 games?,3
"How many points did the ESC Riverrats Geretsried, who lost more than 3 games, score?",3
What is the average number of games drawn among the teams that lost over 13 games?,5
What is the sum of totals for ranks under 3 with tallies of 2-5?,4
"What is the sum of the numbers in series written by sam meikle, which have 21 numbers in the season?",4
What is the least game that was played in Alexander Memorial Coliseum on October 16?,2
What average game was played on October 16?,5
"What is the average tourism receipts in millions of US dollars in 2011 with less than 1.141 million of 2011 tourist arrivals and more than 1,449 tourism receipts in 2011 US dollars per arrival?",5
What is the highest number of tourism receipts in 2011 US $ per capita with 19.4 % of GDP in 2003 tourism receipts and less than 655 US $ per arrival in 2011 tourism receipts?,1
"What is the lowest tourism arrivals in 2011 in millions with 507 US $ per arrival in 2011 tourism receipts and less than 11,869 million of US $ in 2011 tourism receipts?",2
"What is the highest tourism arrivals in 2011 in millions with a 3.82 tourism competitiveness in 2011 and more than 1,102 US$ per arrival in 2011 tourism receipts?",1
"How much Distance has a County of faulkner, and a Total smaller than 1.5?",4
How much Distance has Notes of north end terminus of ar 155?,4
How much Latitude has a Water (sqmi) smaller than 0?,4
Which Land (sqmi) has a GEO ID smaller than 3800587900?,0
"Which Water (sqmi) has a Township of yorktown, and a GEO ID smaller than 3802187940?",0
What is the lowest number of goals with 8 (2) w-leagues?,2
"Which UEFA Champions League has a La Liga of 17, and a Copa del Rey larger than 0?",0
"Which Copa del Rey has a Name of guti, and a FIFA Club World Championship smaller than 0?",0
Which Copa del Rey has a La Liga smaller than 0?,0
"Which FIFA Club World Championship has a UEFA Champions League of 0, and a Total smaller than 3, and a Name of geremi?",2
What is the average rank for Hungary?,5
"What is the average Laps that have gregorio lavilla as the rider, with a grid greater than 13?",5
"What is the highest grid that has +44.866 as the time, with laps greater than 25?",1
What's the least amount of wins for Germany in the 1999 season having 0 points?,2
How many wins when the points are 0 and podiums are less than 0?,3
What's the fastest laps during the 1995 season having poles & podiums at 0?,4
"How many years have an Award of venice film festival, and a Title of lust, caution?",3
What is the average draw for 186 games?,5
What is the number of games for less than 2 seasons and more than 7 draws?,4
"What is the total number of losses for less than 48 games, and less than 7 draws?",3
"What is the total number of games with more than 18 loses, a Total League, and more than 317 draws?",3
What's the least 180's of John Part having a LWAT less than 28 with 100+ less than 180?,2
"What's the LWAT having more than 43 for 180s, 194 for 100+, and more than 128 for 140+?",0
What's the total 140+ when the 100+ is 173?,0
What's the 100+ when the 140+ is less than 128 and the LWAT of 29?,0
How many years have a Form album of the thing?,3
How many years were there albums by heat wave?,3
What is the lowest number of floors for the number 2 ranked Joyus Housing?,2
What is the rank for the city of sewri?,0
"What rank has a status of proposed, with 80 floors for Celestia Spaces 4?",0
What is the least amount of silver for Italy with a total less than 5?,2
What is the total for Austria when there is less than 1 bronze?,3
"What is the total when silver is more than 3, and rank is 2?",3
"What is the gold number when total is more than 1, and bronze is 0, and rank is 5?",0
Name the lowest Time of jamaica with a Lane larger than 4 and a Rank smaller than 1?,2
Name the lowest Rank with a Lane of 5 and a Time smaller than 11.06?,2
Name the lowest Rank of carmelita jeter with a Time smaller than 11.08?,2
When the points are 98 what is the draw?,0
"What is the average duration in 2007/08 with more than 3.8 in 2002/03, more than 8.9 in 2003/04, and less than 34.4 in 2001/02?",5
"What is the total duration in 2006/07 with 191,321 in 2003/04 and less than 160,920 in 2001/02?",3
"Which Laps have a Time/Retired of + 4 laps, and a Grid larger than 18?",0
What is the sum of the rank of the rower with an r note from Australia?,4
What rank did the time of 7:31.90 receive?,0
How many Episodes have a Romaji Title of slow dance?,3
How many Episodes have a Romaji Title of dragon zakura?,3
"Which Catalog has a Date of july 15, 2011?",0
"How many places have an Artist of augustė, and a Draw smaller than 6?",3
What is the latest year the world championships were held in Thun?,1
"What is the smallest ANSI code for adler township when Longitude is more than -101.333926, GEO ID is less than 3806700900, and Land ( sqmi ) is more than 35.84?",2
"Cass county has 0.008 Water (sqmi), less than 35.874 Land (sqmi), more than 35 Pop. (2010), and what average latitude?",5
"Which Year has a Venue of bydgoszcz, poland, and an Event of junior team?",0
Which Year has a Competition of commonwealth youth games?,0
What is the total for 1986?,3
What is the lowest rank for El Paso Natural Gas Company Building?,2
"What is the lowest 2013 population estimate of south africa, which has a percentage greater than 19.8 and a 2011 population greater than 51,770,561?",2
What is the lowest 2013 population estimate of the province with a 23.7 percentage?,2
What was the earliest year with a note of 18.04 m wl?,2
What was the rank of flori lang when his time was less than 22.27,0
"What lane had a heat after 12, a rank of 38 and a time larger than 22.67?",0
What is the Rank of the rower with a Time of 8:23.02?,0
What is the most gold when the rank is 7 and bronze is less than 0?,1
what is the most gold when the total is 7?,1
what is the least gold when the rank is 10 and silver is less than 0?,2
what is the lowest total when the nation is sweden (swe) and silver is less than 0?,2
"what is the average total when silver is more than 2, bronze is 12 and gold is less than 12?",5
